Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,16.059999,16.110001,15.92,16.02,15.88851,52824000
2/2/18,15.89,15.93,15.6,15.64,15.511628,82294800
2/5/18,15.48,15.63,14.91,14.91,14.78762,123241600
2/6/18,14.82,15.34,14.71,15.27,15.144666,126819900
2/7/18,15.31,15.52,15.25,15.25,15.124829,76007200
2/8/18,15.19,15.21,14.45,14.45,14.331395,138636100
2/9/18,14.69,15.03,14.23,14.94,14.817373,129055800
2/12/18,15.06,15.14,14.78,14.82,14.698359,75582400
2/13/18,14.74,14.79,14.53,14.67,14.54959,73700300
2/14/18,14.69,15.03,14.64,14.9,14.777701,85912000
2/15/18,14.93,15.14,14.77,14.85,14.728113,54885000
2/16/18,14.85,15.23,14.81,15.05,14.926471,64724800
2/20/18,14.92,14.97,14.62,14.74,14.619015,61665700
2/21/18,14.71,14.73,14.45,14.49,14.371067,98111500
2/22/18,14.53,15.07,14.49,14.62,14.5,78497200
2/23/18,14.53,14.67,14.49,14.49,14.49,52912600
2/26/18,14.39,14.68,13.95,14.65,14.65,145220600
2/27/18,14.67,15.18,14.5,14.5,14.5,93024000
2/28/18,14.6,14.62,14.09,14.11,14.11,88614100
