Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,247.440002,250.089996,246.179993,247.940002,246.486557,2665500
2/2/18,246.429993,248.75,244.880005,245.169998,243.732803,3925700
2/5/18,243.5,244.399994,226.009995,231.440002,230.083282,6590500
2/6/18,227.509995,234.570007,226.809998,233.630005,232.260452,5108100
2/7/18,233.190002,237.520004,232.820007,233.190002,231.823029,2885600
2/8/18,233.160004,233.309998,222.649994,222.889999,221.583405,3751300
2/9/18,224.610001,226.960007,218.179993,225.210007,223.889816,4518600
2/12/18,227.490005,230.380005,226.100006,229.190002,227.846481,3290400
2/13/18,229.710007,231.970001,228.929993,231.360001,230.003754,2523600
2/14/18,229.449997,232.869995,228.470001,232,230.639999,2337800
2/15/18,233.309998,234.899994,230.880005,234.869995,234.869995,2127500
2/16/18,234.970001,238.440002,233.389999,236.669998,236.669998,2221800
2/20/18,234.539993,236.669998,233.910004,235.070007,235.070007,2675900
2/21/18,234.710007,237.860001,232.100006,232.179993,232.179993,2561400
2/22/18,232.429993,237.369995,232.259995,236,236,2284500
2/23/18,236.850006,237.889999,234.389999,237.020004,237.020004,1616700
2/26/18,239.009995,244.860001,238.509995,244.139999,244.139999,3086800
2/27/18,244.610001,244.669998,240.720001,240.779999,240.779999,1778300
2/28/18,241.639999,242.279999,235.399994,235.509995,235.509995,2461400
