Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,67.669998,67.970001,66.699997,67.650002,67.650002,5790500
2/2/18,67.220001,67.790001,67,67.220001,67.220001,9348300
2/5/18,66.629997,67.209999,64.389999,64.389999,64.389999,12549500
2/6/18,62.48,65.419998,62.09,65.220001,65.220001,13356700
2/7/18,65.150002,66.839996,65.099998,65.629997,65.629997,8845700
2/8/18,65.529999,65.709999,62.459999,62.490002,62.490002,14121800
2/9/18,63.759998,66.050003,62.84,65.489998,65.489998,13733300
2/12/18,65.940002,66.82,65.68,65.980003,65.980003,9792200
2/13/18,65.849998,66.230003,65.43,65.870003,65.870003,9538400
2/14/18,65.720001,68.029999,65.550003,67.959999,67.959999,8662600
2/15/18,68.389999,68.760002,67.25,68.290001,68.290001,7390200
2/16/18,67.900002,69,67.739998,68.300003,68.300003,6842100
2/20/18,67.639999,67.970001,67.050003,67.489998,67.489998,4859100
2/21/18,67.660004,68.019997,67.029999,67.050003,67.050003,5107900
2/22/18,67.25,67.480003,66.739998,67.129997,67.129997,6515800
2/23/18,67.389999,68.160004,66.849998,68.160004,68.160004,4428500
2/26/18,68.389999,69.809998,68.339996,69.650002,69.650002,6499500
2/27/18,70,70.25,68.029999,68.029999,68.029999,6843100
2/28/18,68.099998,68.300003,67.010002,67.029999,67.029999,6091800
