Date,Open,High,Low,Close,Adj Close,Volume
2/1/18,136.990005,139,136.520004,138.320007,137.555801,4200300
2/2/18,137.440002,137.940002,134.399994,134.610001,133.866302,4684700
2/5/18,133.479996,134.139999,125.900002,127.239998,126.53701,6913000
2/6/18,124.160004,129.809998,123.25,129.809998,129.092819,8672800
2/7/18,129.389999,133.339996,129.059998,131.970001,131.240891,7906400
2/8/18,131.850006,132.360001,127.370003,127.480003,126.775696,7357500
2/9/18,129.149994,130.039993,122.209999,125.029999,124.339226,12116600
2/12/18,123.07,128.520004,123,127.379997,126.676239,9548300
2/13/18,126.360001,126.959999,124.970001,125.769997,125.075134,5067500
2/14/18,124.980003,126.800003,123.949997,126.699997,125.999992,6949700
2/15/18,127.989998,130.039993,127.790001,130,130,4556700
2/16/18,129.940002,131.009995,128.919998,129.259995,129.259995,4784700
2/20/18,128.75,129.270004,125.879997,126.459999,126.459999,4634900
2/21/18,126.730003,131.210007,126.480003,129.259995,129.259995,7766100
2/22/18,130.800003,134.589996,130.800003,133.580002,133.580002,8072800
2/23/18,134.580002,134.919998,131.380005,133.149994,133.149994,4604600
2/26/18,133.820007,135.639999,133.759995,135.470001,135.470001,4750400
2/27/18,135.639999,136.240005,133.880005,133.910004,133.910004,4309900
2/28/18,134.119995,138.5,134,134.740005,134.740005,9229700
